id,OLDEST
3,2004-01-22 18:00:39
9,2004-01-23 15:14:57
98,2004-10-19 4:54:01
114,2005-03-17 10:14:01
115,2005-03-17 10:19:01
259,2009-10-10 6:11:56
293,2009-11-11 13:22:32
543,2011-04-22 3:18:53
602,2011-11-6 12:39:17
627,2012-03-30 7:14:13
725,2013-06-12 7:01:01
770,2014-01-1 17:55:43
790,2014-04-27 6:40:18
883,2015-05-4 23:26:52
896,2015-06-22 6:29:01
906,2015-08-18 8:46:32
919,2015-11-7 19:35:25
950,2016-03-11 11:37:52
1005,2016-10-1 23:47:17
1016,2016-11-30 22:20:23
1071,2017-08-14 9:54:03
1080,2017-09-28 15:38:04
1081,2017-09-30 9:13:09
1095,2017-11-2 16:49:06
1104,2017-12-2 12:11:48
1106,2017-12-11 7:14:30
1132,2018-04-24 9:11:32
1214,2019-01-5 6:47:50
1215,2019-01-5 6:59:29
1216,2019-01-5 13:39:02
1231,2019-02-22 3:24:47
1233,2019-02-24 4:17:04
1239,2019-02-26 17:18:06
1243,2019-03-16 18:02:56
1251,2019-03-23 22:51:31
1253,2019-03-29 16:34:40
1254,2019-03-30 12:14:49
1255,2019-04-9 14:58:58
1256,2019-04-12 15:49:03
1257,2019-04-14 9:15:09
1263,2019-04-30 13:52:07
1268,2019-06-9 5:29:16
1269,2019-06-19 4:35:26
1271,2019-07-10 16:17:11
1276,2019-08-12 5:52:03
1278,2019-08-19 14:49:21
1299,2020-01-11 10:30:43
